LAMBX,LAMBY,order,seasonal_order,ar.L1,ma.L1,ma.L2,ma.S.L12,sigma2,source_model
10120,23210,"(1, 0, 2)","(0, 1, 1, 12)",0.9569117067933622,-0.8404656007450964,-0.06012015764060267,-0.9216762441500147,3.6097478578233857,sarima_lambx_10120_lamby_23210.pkl
10120,23530,"(1, 0, 2)","(0, 1, 1, 12)",0.8874850599643133,-0.7783798429212336,-0.05235275292931375,-1.0780313895794242,2.930639781107406,sarima_lambx_10120_lamby_23530.pkl
10120,23610,"(1, 0, 2)","(0, 1, 1, 12)",0.893933659659543,-0.7817992681783796,-0.04613251251967508,-0.9258055527752707,3.286297875917901,sarima_lambx_10120_lamby_23610.pkl
10120,23690,"(1, 0, 2)","(0, 1, 1, 12)",0.9066746006093646,-0.796483244075908,-0.04666775425227608,-1.0832037899648934,2.885012049671236,sarima_lambx_10120_lamby_23690.pkl
10120,23770,"(1, 0, 2)","(0, 1, 1, 12)",0.9046368432226065,-0.7937310474586664,-0.046891053262871185,-1.0827190590470261,2.8697241071261175,sarima_lambx_10120_lamby_23770.pkl
10120,23850,"(1, 0, 2)","(0, 1, 1, 12)",0.895792872113791,-0.7833118161776491,-0.04680379751774265,-0.9254117538858377,3.3003985075670794,sarima_lambx_10120_lamby_23850.pkl
10120,23930,"(1, 0, 2)","(0, 1, 1, 12)",0.8842953141473548,-0.7722861405953995,-0.04468907869627889,-0.9283492950763035,3.2174273963686315,sarima_lambx_10120_lamby_23930.pkl
10120,24010,"(1, 0, 2)","(0, 1, 1, 12)",0.8753437965676915,-0.7629592553698884,-0.042876680555189894,-0.9309046299575048,3.1552727730511427,sarima_lambx_10120_lamby_24010.pkl
10120,24090,"(1, 0, 2)","(0, 1, 1, 12)",0.3849329005657329,-0.2803035123256199,0.04197360674823507,-0.9436075738999931,3.1520168307855903,sarima_lambx_10120_lamby_24090.pkl
10120,24170,"(1, 0, 2)","(0, 1, 1, 12)",0.3925045863651266,-0.2867571677303377,0.04125050055689731,-0.9437051931839956,3.1481347485253854,sarima_lambx_10120_lamby_24170.pkl
10120,24250,"(1, 0, 2)","(0, 1, 1, 12)",0.4025689140727269,-0.2955246121354389,0.04113076579614229,-0.9440913047759361,3.141017415592893,sarima_lambx_10120_lamby_24250.pkl
10120,24330,"(1, 0, 2)","(0, 1, 1, 12)",0.40776246935348115,-0.30011392468913045,0.04103691194926745,-0.9439169842029319,3.139260213765378,sarima_lambx_10120_lamby_24330.pkl
10120,24410,"(1, 0, 2)","(0, 1, 1, 12)",0.3975251879307056,-0.29090856492619954,0.041086238899900464,-0.9437965216499788,3.1438167087711086,sarima_lambx_10120_lamby_24410.pkl
10120,24490,"(1, 0, 2)","(0, 1, 1, 12)",0.37810631820889395,-0.27437906451004207,0.04149764189563798,-1.0600290420306222,2.811064285065004,sarima_lambx_10120_lamby_24490.pkl
